k,k_over_b,band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21
-3.141592653589793116e-01,-5.000000000000000000e-01,-9.101930492372385925e+04,-6.093689450732828846e+04,-6.093689093158174364e+04,-3.687096971357596340e+04,-3.687096802469073737e+04,-1.882153645940064598e+04,-1.882153179647208162e+04,-6.788631696530752379e+03,-6.788608975925863888e+03,-7.791699079463729731e+02,-7.657486241360234089e+02,3.285567724482421568e+02,1.411264105457328697e+03,5.261682524560750608e+03,8.510515224882023176e+03,1.621159246868997980e+04,2.162641374214385723e+04,3.317805485888085241e+04,4.075881837701764744e+04,5.616101271016981627e+04,6.590771136532849050e+04,9.707308839432860259e+04
-3.115521345261247355e-01,-4.958506224066390189e-01,-9.088205110563726339e+04,-6.104928367959808384e+04,-6.082460535527246248e+04,-3.695839609357567679e+04,-3.678364523862343776e+04,-1.888399515687771054e+04,-1.875917671074720784e+04,-6.826107399271862050e+03,-6.751237066224457521e+03,-7.865157072041694164e+02,-7.585082984950624905e+02,3.365976445371832142e+02,1.394342374583130322e+03,5.294686785198399775e+03,8.468626667348697083e+03,1.626956213455235229e+04,2.155956031906807038e+04,3.326098927558335708e+04,4.066700025456521689e+04,5.626891180931053532e+04,6.579092857160457061e+04,9.693134093468519859e+04
-3.089450036932701038e-01,-4.917012448132779823e-01,-9.074490087536156352e+04,-6.116178001542838319e+04,-6.071241979105494829e+04,-3.704592775035494560e+04,-3.669642435159528395e+04,-1.894656210547242881e+04,-1.869692055044851440e+04,-6.863709412017214163e+03,-6.713946030087246982e+03,-7.983338469190437081e+02,-7.470027165273947958e+02,3.447419308827720101e+02,1.377524310321548228e+03,5.327794642694062532e+03,8.426841699604687165e+03,1.632763538899882587e+04,2.149281048410119183e+04,3.334402728024697717e+04,4.057528571999300766e+04,5.637691449629647104e+04,6.567424936570672435e+04,9.678969706284423592e+04
-3.063378728604155277e-01,-4.875518672199170567e-01,-9.060785423289689061e+04,-6.127437993907264172e+04,-6.060033781467606605e+04,-3.713356299502828915e+04,-3.660930705249212042e+04,-1.900923264225359526e+04,-1.863476797850866205e+04,-6.901415015264002250e+03,-6.676758587055748649e+03,-8.107816158515856841e+02,-7.350745869749550820e+02,3.529896229346737755e+02,1.360809918868397290e+03,5.361006096931717366e+03,8.385160321667939570e+03,1.638581223202332330e+04,2.142616423724525885e+04,3.342716887287091959e+04,4.048367477330137626e+04,5.648502077112735424e+04,6.555767374763511179e+04,9.664815677880577277e+04
-3.037307420275608960e-01,-4.834024896265560201e-01,-9.047091117824280809e+04,-6.138708345053074299e+04,-6.048835942613582301e+04,-3.722130182759515446e+04,-3.652229334131456562e+04,-1.907200676721854325e+04,-1.857271899493180172e+04,-6.939224208988347527e+03,-6.639674737193367037e+03,-8.234772069697700090e+02,-7.231057144502788105e+02,3.613407115780682375e+02,1.344199207061256402e+03,5.394321147797065350e+03,8.343582533556671478e+03,1.644409266361969276e+04,2.135962157850230142e+04,3.351041405345415842e+04,4.039216741449057008e+04,5.659323063380324311e+04,6.544120171738966746e+04,9.650672008256988192e+04
-3.011236111947063199e-01,-4.792531120331950389e-01,-9.033407171139983984e+04,-6.149989054980256333e+04,-6.037648462543440837e+04,-3.730914424805499584e+04,-3.643538321806336171e+04,-1.913488448036475529e+04,-1.851077359972209524e+04,-6.977136993166678621e+03,-6.602694480564461628e+03,-8.363354028407540000e+02,-7.111813140503959403e+02,3.697951870563503576e+02,1.327692182462307528e+03,5.427739795177437372e+03,8.302108335289331080e+03,1.650247668378185699e+04,2.129318250787431680e+04,3.359376282199595880e+04,4.030076364356108388e+04,5.670154408432378841e+04,6.532483327497070422e+04,9.636538697413651971e+04
-2.985164803618516882e-01,-4.751037344398340023e-01,-9.019733583236781124e+04,-6.161280123688804451e+04,-6.026471341257212043e+04,-3.739709025640741311e+04,-3.634857668273918534e+04,-1.919786578168953565e+04,-1.844893179288372630e+04,-7.015153367775584229e+03,-6.565817817234199538e+03,-8.493269551391492769e+02,-6.993306318541124256e+02,3.783530388803816322e+02,1.311288853454827176e+03,5.461262038961818689e+03,8.260737726884470248e+03,1.656096429250391520e+04,2.122684702536338955e+04,3.367721517849533848e+04,4.020946346051327419e+04,5.680996112268864817e+04,6.520856842037834576e+04,9.622415745350578800e+04
-2.959093495289971121e-01,-4.709543568464730212e-01,-9.006070354114685324e+04,-6.172581551178716472e+04,-6.015304578754901740e+04,-3.748513985265188967e+04,-3.626187373534269864e+04,-1.926095067119041414e+04,-1.838719357442097680e+04,-7.053273332791893154e+03,-6.529044747268696483e+03,-8.624391766981779028e+02,-6.875663528763629984e+02,3.870142557219126616e+02,1.294989229355217049e+03,5.494887879040801636e+03,8.219470708360846402e+03,1.661955548977996659e+04,2.116061513097157149e+04,3.376077112295143161e+04,4.011826686534778855e+04,5.691848174889788061e+04,6.509240715361259208e+04,9.608303152067764313e+04
-2.933022186961425359e-01,-4.668049792531120956e-01,-8.992417483773721324e+04,-6.183893337449981482e+04,-6.004148175036528119e+04,-3.757329303678797442e+04,-3.617527437587465829e+04,-1.932413914886479324e+04,-1.832555894433808498e+04,-7.091496888192555161e+03,-6.492375270735043159e+03,-8.756656851695382784e+02,-6.758948574135536091e+02,3.957788252876788988e+02,1.278793320544254129e+03,5.528617315306545606e+03,8.178307279737360659e+03,1.667825027560408853e+04,2.109448682470101994e+04,3.384443065536342328e+04,4.002717385806485981e+04,5.702710596295093274e+04,6.497634947467364691e+04,9.594200917565214331e+04
-2.906950878632879043e-01,-4.626556016597510035e-01,-8.978774972213861474e+04,-6.195215482502592204e+04,-5.993002130102118826e+04,-3.766154980881516531e+04,-3.608877860433561727e+04,-1.938743121471024278e+04,-1.826402790263940915e+04,-7.129824033954744664e+03,-6.455809387701159721e+03,-8.890029225036682874e+02,-6.643197015685469751e+02,4.046467341705887861e+02,1.262701138620890561e+03,5.562450347652783421e+03,8.137247441033163341e+03,1.673704864997047116e+04,2.102846210655368850e+04,3.392819377573049132e+04,3.993618443866485177e+04,5.713583376484789915e+04,6.486039538356165576e+04,9.580109041842931765e+04
